CP ID,Microsoft Id,customerId,customername,skuName,subtotalCost,totalforcustomerCost,totalSale,margin
,,42e61e40-b68a-454f-839e-9383df57c6af,Druva Data Solutions Pvt. Ltd,Microsoft 365 Business Basic,59616.0,70346.88,,-59616.0
,,5daf842a-2f01-4360-972b-82cbb358a3ea,BOH SOLUTION,Business Premium - India & APAC Emerging Markets Promo,59272.1,69941.22,,-59272.1
,,1470f221-21b0-4bdc-b5f6-edd1281aff45,Habeeb Nizamudin,"Windows 365 Business 8 vCPU, 32 GB, 128 GB (with Windows Hybrid Benefit)",58568.4,69110.72,,-58568.4
,,5ce8a875-1057-4b7f-8460-177db446e588,Fertis India Private Limited,Microsoft 365 Apps for business,57112.0,67392.16,,-57112.0
,,2c7a3b7f-c416-41cd-83a3-a43a0f5cdec6,REAL TALENT ENGINEERING PRIVATE LIMITED,Business Premium - India & APAC Emerging Markets Promo,55567.6,65569.9,,-55567.6
,,627ecd83-b17d-4a79-9023-0ad7aa9b7e1d,Crown Magnesium,Project Plan 3,55296.0,65249.28,,-55296.0
,,70dc94d5-4d08-4d60-9b95-4b4d61053526,HINGE CLINICA,Microsoft 365 Business Basic,53397.04,63009.29,,-53397.04
,,bec28d4c-5ce6-417c-adf7-46f3440605f7,OSTRACA,Microsoft 365 Business Standard,51072.0,60264.96,,-51072.0
,,5c3c17a4-3f9e-4f7a-b48f-4af7282e3e39,National Housing Bank,Power BI Pro,48356.0,57060.08,,-48356.0
,,599bfea8-2fa7-4906-9c53-10c05a1230c9,M/s. Lite Auto Components Pvt Ltd,Microsoft 365 Business Standard,44660.0,52698.8,,-44660.0
,,c4ab678b-1bd9-4508-9e5c-fbb73126b8cd,QuaQua Experiences Private Limited,Microsoft 365 Business Standard,44544.0,52561.92,,-44544.0
,,f2c85d6a-62db-46d1-b951-74f01f761c62,"ABAL Technologies, Inc",Microsoft 365 Business Basic,44072.84,52005.57,,-44072.84
,,e9ff19c4-3b67-4531-a01f-2e58e25ec034,CLOUDPERITUS (INDIA) PRIVATE LIMITED,Microsoft 365 Apps for business,43880.0,51778.4,,-43880.0
,,0c1bb677-2dfe-4c65-81a1-ffb4149c1223,ATC Online LLP,Microsoft 365 Business Basic,42918.93,50644.35,,-42918.93
,,68eb476a-15ad-4e65-b21d-12458a7e0142,TRDFIN Support Services Private Limited,Microsoft 365 Business Standard,42196.68,49792.08,,-42196.68
,,cee09dbf-a78f-4c81-9d1d-4dcd719772ea,Technoflair Solutions India Private Limited,Microsoft 365 Business Basic,41580.0,49064.4,,-41580.0
,,44e27690-1d9d-4de0-9e3c-88afb7e8fb63,Naprod Life Science Pvt Ltd,Microsoft 365 Business Standard,40432.0,47709.76,,-40432.0
,,ec6a7ccd-2a02-45d4-b999-a1957237dec9,Best Application India Pvt Ltd,Microsoft 365 Business Basic,40000.0,47200.0,,-40000.0
,,ac7a9f9c-24b9-4e86-98ec-e26905ac758d,iLenSys Technologies Private Limited,Microsoft 365 Business Basic,39103.44,46142.04,,-39103.44
,,de2b920c-d30b-4442-99dc-bfb0d1b6e5bc,Exprs Techno Logistics Pvt. Ltd.,Microsoft 365 Business Basic,38900.0,45902.0,,-38900.0
,,df39c3ea-e64a-4801-bf87-dd275524cc47,DeDote,Microsoft 365 Business Basic,37897.4,44719.0,,-37897.4
,,4ee83e38-41f3-47fe-a6f0-bec488e6c00f,"Skoruz Technologies Pvt. Ltd.,",Microsoft 365 Business Standard,37833.6,44643.68,,-37833.6
,,7b1eeb7e-ff6c-415e-9c2b-151446e2e52e,BitByBit Solutions,Microsoft 365 Business Basic,37763.56,44561.17,,-37763.56
,,e13e81ee-a2a5-46ef-960c-068b2e378e0a,brioperk.co.in,Microsoft 365 F1,36400.0,42952.0,,-36400.0
,,de4a7d22-8278-420d-a7bc-2dbd213ef2a5,ATC Online LLP,Microsoft 365 Business Basic,36156.6,42664.95,,-36156.6
,,52e5a706-49a5-4aed-920e-7526ef8e3d21,Element Tree,Microsoft 365 Business Standard,34800.0,41064.0,,-34800.0
,,acf47cce-de1d-4afe-8177-671593c94e96,DGS ASSOCIATES,Microsoft 365 Business Standard,33207.1,39184.38,,-33207.1
,,254ce867-9dd0-4a36-bda7-c70667ecb822,Upscalio India Private Limited,Microsoft 365 Apps for business,32400.0,38232.0,,-32400.0
,,80e86e1a-8c26-499a-b1e1-41fc1a7cc7e2,DYNABLOCKS,Microsoft 365 Business Standard,31900.0,37642.0,,-31900.0
,,0cee7365-f06b-4b17-b738-1fa7a06abdd5,Stargatefitout,Microsoft 365 Business Basic,31752.0,37467.36,,-31752.0
,,a04fb57c-0b55-4078-a9e7-e5956296acae,TRDFIN Support Services Private Limited,Microsoft 365 Business Standard,31660.0,37358.8,,-31660.0
,,24067079-ff6a-4c4e-a5de-7c5ac7ddf4d8,MOUNT MERU INDIA PRIVATE LIMITED,Microsoft 365 Business Basic,30800.0,36344.0,,-30800.0
,,3fa43bbd-2c24-4574-bffa-7db110894d94,CAWStudios-AAD,Microsoft Intune Plan 1 Device,30400.0,35872.0,,-30400.0
,,9623bc03-37ee-4573-b877-390fe4311c51,Eclature,Microsoft 365 Business Basic,29700.0,35046.0,,-29700.0
,,0ddd8c10-6e8e-4d84-a05f-867fd59d328b,Techsophy Information Solutions Pvt Ltd,Microsoft 365 Business Basic,29430.0,34727.4,,-29430.0
,,e7067c36-169b-45f5-bc6a-130d12a958b5,trroyls.in,Microsoft 365 Business Basic,29160.0,34408.8,,-29160.0
,,c0d9058f-8674-4dd8-b147-df2bf164b031,DeDote,Microsoft 365 Business Basic,28468.92,33593.33,,-28468.92
,,44d0ecc3-9123-4321-ad8a-cdd4d4a9941c,PILOG India Private Limited,OneDrive for business (Plan 2),28260.0,33346.8,,-28260.0
,,c4ab678b-1bd9-4508-9e5c-fbb73126b8cd,QuaQua Experiences Private Limited,Microsoft 365 Business Standard - SMB New Customer/Upsell and Legacy Renewal Promo,27839.04,32850.24,,-27839.04
,,33805c0f-c981-46ad-b0fc-90b761514f7e,TRDFIN Support Services Private Limited,Microsoft 365 Business Standard,27560.0,32520.8,,-27560.0
,,b0e0b885-4ecd-4b44-a47c-2fb061d9ea7f,    Jupiter  Lifeline Hospital Ltd,Power BI Pro,26800.0,31624.0,,-26800.0
,,d3efd475-0ec1-45ab-940e-0e66802111b8,Josh Automation India Pvt Ltd,Microsoft 365 Business Standard,26600.0,31388.0,,-26600.0
,,48dccd81-8da8-42e9-8089-2fe3f5098a41,PURVIEW INDIA CONSULTING AND SERVICES LLP,Microsoft 365 Business Basic,26181.35,30894.0,,-26181.35
,,7046662c-a4d2-48d7-a754-058b6f3b646a,Manjeera Hospitality (Rajahmundry) Pvt.Ltd,Microsoft 365 Business Basic,26100.0,30798.0,,-26100.0
,,c6773c98-4af8-4d23-8f4e-d23b58dfe2a7,INFOLOGY,Microsoft 365 Apps for business,25960.0,30632.8,,-25960.0
,,b0d6f1d6-bbdf-4228-9ae6-a1f7a3dde4c6,Hedge & Sachs,Microsoft 365 Business Basic,25828.74,30477.9,,-25828.74
,,6383834a-cd30-42d9-85eb-11a5cac5e967,ATC Publishers LLP,Microsoft 365 Business Basic,25600.0,30208.0,,-25600.0
,,977f7804-ed94-4d57-9e3e-9d7863242dc9,Gati Poc,Microsoft Teams Essentials,24200.0,28556.0,,-24200.0
,,1d0b4531-4207-452b-883d-49d48b43ae87,Madhu Medical Solutions LLP,Microsoft 365 Business Basic,23760.0,28036.8,,-23760.0
,,94928a76-25dd-4e35-b0c4-de6291f896c3,MERADAWAI PRIVATE LIMITED,Microsoft 365 Business Basic,22800.0,26904.0,,-22800.0
,,2c75a83e-9041-4e12-bf05-4157933b50ed,EatClub Brands Pvt Ltd,Microsoft 365 Business Basic,22040.0,26007.2,,-22040.0
,,e3f997b9-a18c-428e-b058-2734ccedcbd9,Wilmer Technologies LLP,Microsoft 365 Business Basic,21240.0,25063.2,,-21240.0
,,b285c6e0-b084-44c9-96ed-229c0cf6e881,HAPPY PLATTERS KITCHEN DMCC,Microsoft 365 Business Standard,20880.0,24638.4,,-20880.0
,,2d61d285-d94b-48fb-b8f6-21a0ccd66f66,"Mulherkar,Theosys Infotech Private Limited",Microsoft 365 Business Standard,20880.0,24638.4,,-20880.0
,,d2781ccb-abb1-410d-969f-b1259cc2a697,Y-Axis Solutions Pvt. Ltd,Microsoft Defender for Office 365 (Plan 2),20736.0,24468.48,,-20736.0
,,aefe51b0-2009-4c72-987d-03988faf99d6,ITCC,Project Plan 3,20724.0,24454.32,,-20724.0
,,5e9072dd-8f12-4472-9262-6f86d743781c,Reactore Group,Microsoft 365 Business Basic,20621.53,24333.28,,-20621.53
,,b753339e-39a0-40be-9591-7632cf597299,North Star Trade Links Private Limited,Business Premium - India & APAC Emerging Markets Promo,20206.4,23843.6,,-20206.4
,,80b156a7-26d2-4ec4-9b0f-c3f30641cf7b,Hela System Pvt Ltd,Business Premium - India & APAC Emerging Markets Promo,20206.4,23843.6,,-20206.4
,,39a4921b-a0a6-4f0e-9ff0-ec0aab395733,EPIC SUSTAINABILITY SERVICES PRIVATE LIMITED,Microsoft 365 Business Premium,19929.6,23516.88,,-19929.6
,,40fb9de6-1896-49c5-9023-d86e17a8f1a7,MOUNT MERU INDIA PRIVATE LIMITED,Microsoft 365 Business Basic,19300.0,22774.0,,-19300.0
,,04ae8e40-2e6a-404d-a2fc-882249a590c6,INFINX HEALTHCARE,Microsoft 365 F1,19200.0,22656.0,,-19200.0
,,82013b22-c884-4cec-93fd-c3eb25fea5c3,EXCEL IT SERVICES PRIVATE LIMITED,Microsoft 365 Business Standard,19152.0,22599.36,,-19152.0
,,8fa13ba4-5080-4e93-b14d-5a3f469d2e6d,Tejora Private Limited.,Microsoft 365 Business Basic,19085.76,22521.51,,-19085.76
,,c1f661c6-cae5-476b-b8cd-346379a2f904,Atec Pool,Microsoft 365 Business Basic,18916.66,22321.66,,-18916.66
,,90090ff8-b516-4123-b164-16e14b170d48,Gretel Network Of Aircrafts & Turbine Engines Aviation Pvt Ltd,Microsoft 365 Business Basic,18696.55,22061.95,,-18696.55
,,b35d7fe3-e80b-46e9-9f63-bd933ececaef,xcubelabs.com,Microsoft Teams Essentials,18480.0,21806.4,,-18480.0
