customerId,customerName,skuName,invoiceMonth,total
5a55ae01-a585-4c93-8221-d3a7ec488ee9,P.B.L TRANSPORT CORPORATION PRIVATE LIMITED,Office 365 E3,2022-04-01,1094.4
5b5095c1-86b9-4a36-9196-f6a16fe048f5,ILENSYS TECHNOLOGIES PVT. LTD.,Microsoft 365 Business Basic,2022-04-01,30000.0
5b5095c1-86b9-4a36-9196-f6a16fe048f5,ILENSYS TECHNOLOGIES PVT. LTD.,Microsoft 365 Business Standard,2022-04-01,21280.0
5b5095c1-86b9-4a36-9196-f6a16fe048f5,ILENSYS TECHNOLOGIES PVT. LTD.,Office 365 F3,2022-04-01,14944.570000000002
5c30478e-e939-4888-a8e7-664f5bef7165,Mount Meru India Pvt. Ltd.,Microsoft 365 Business Basic,2022-04-01,342.0
60d0cf59-be8e-4485-ad16-057dc5b1bce1,NoBroker Technologies Solutions Pvt Ltd,Microsoft 365 Business Standard,2022-04-01,25270.0
627ecd83-b17d-4a79-9023-0ad7aa9b7e1d,Crown Magnesium,Project Plan 3,2022-04-01,6912.0
6383834a-cd30-42d9-85eb-11a5cac5e967,ATC Online LLP,Microsoft 365 Business Basic,2022-04-01,9216.0
67bc1e01-c4b2-4d0b-bbaa-6d61735ee410,CELON LABORATORIES PRIVATE LIMITED,Exchange Online (Plan 1),2022-04-01,29007.2
68eb476a-15ad-4e65-b21d-12458a7e0142,TRDFIN Support Services Private Limited,Microsoft 365 Business Basic,2022-04-01,285.0
68eb476a-15ad-4e65-b21d-12458a7e0142,TRDFIN Support Services Private Limited,Microsoft 365 Business Standard,2022-04-01,2021.6
69bb27c2-5c75-428c-b849-6cbdba56a4e7,World Wide Xpo,Microsoft 365 Business Basic,2022-04-01,4000.0
6a602c8a-f828-4e9e-b9be-c9b962c44cae,TK Chain,Microsoft 365 Business Basic,2022-04-01,3078.0
6a6ab57c-2f70-483a-9a9c-65258a9d12b1,WebGuru Mumbai,Microsoft 365 Business Basic,2022-04-01,700.0
6c614f21-034e-4cf5-ac05-33c521b97912,Amicus Services,Microsoft 365 Business Basic,2022-04-01,3230.0
6c614f21-034e-4cf5-ac05-33c521b97912,Amicus Services,Microsoft 365 Business Standard,2022-04-01,3032.4
6d0307db-c481-425d-b4bd-b13fbca212da,ALPHASTREET INDIA PRIVATE LIMITED,Microsoft 365 Business Basic,2022-04-01,570.0
70dc94d5-4d08-4d60-9b95-4b4d61053526,HINGE CLINICA,Microsoft 365 Business Basic,2022-04-01,5284.0
70e2d0ae-cdf3-49d1-bd4f-9f515ea121f4,Asset Online Pvt Limited,Microsoft 365 Apps for business,2022-04-01,820.8
70fa24fd-4b1b-4b45-83b2-4660c0beb942,Tridhya Intuit Private Limited,Microsoft 365 Business Basic,2022-04-01,475.0
7ba118fb-fa31-45b6-918a-24dd21e641db,Hibiz Solutions and Consultants,Microsoft 365 Business Basic,2022-04-01,6840.0
