,Service Name,SKU Name,SKU ID,Date Added
4065,Secure Your Cloud with Golden Hardened Image (B07C-5C9A-88F9),Licensing Fee for Standard Plan on VM with 2 to 3 VCPU,30DF-4C8F-7B3B,"July 30, 2020"
4066,Secure Your Cloud with Golden Hardened Image (5A9E-E4CF-3989),Licensing Fee for Standard Plan on VM with 2 to 3 VCPU,9F45-5EA6-FB29,"July 30, 2020"
4067,Secure Your Cloud with Golden Hardened Image (DA55-99FB-2C77),Licensing Fee for Standard Plan on VM with 2 to 3 VCPU,6A97-10FC-F2D3,"July 31, 2020"
4068,Secure Your Cloud with Golden Hardened Image (B07C-5C9A-88F9),Licensing Fee for Standard Plan on VM with 4 to 7 VCPU,936F-5C15-F6A9,"July 30, 2020"
4069,Secure Your Cloud with Golden Hardened Image (5A9E-E4CF-3989),Licensing Fee for Standard Plan on VM with 4 to 7 VCPU,CB45-E01F-DA7E,"July 30, 2020"
4070,Secure Your Cloud with Golden Hardened Image (DA55-99FB-2C77),Licensing Fee for Standard Plan on VM with 4 to 7 VCPU,5993-ADC2-ED68,"July 31, 2020"
4071,Secure Your Cloud with Golden Hardened Image (B07C-5C9A-88F9),Licensing Fee for Standard Plan on VM with 8 to 11 VCPU,0C70-969F-A1B5,"July 30, 2020"
4072,Secure Your Cloud with Golden Hardened Image (5A9E-E4CF-3989),Licensing Fee for Standard Plan on VM with 8 to 11 VCPU,9275-9394-FB4B,"July 30, 2020"
4073,Secure Your Cloud with Golden Hardened Image (DA55-99FB-2C77),Licensing Fee for Standard Plan on VM with 8 to 11 VCPU,180C-9D02-47DA,"July 31, 2020"
4074,Secured Bitcoin Node (3332-5F27-A239),Licensing Fee for Standard Plan on VM with 0 RAM GB or more,1593-F78D-517B,"August 1, 2020"
4075,Secured Bitcoin Node (3332-5F27-A239),Licensing Fee for Standard Plan on VM with 0 VCPU or more,8E72-E206-60C3,"August 1, 2020"
4076,Secured Ripple Node (6610-4BC6-8452),Licensing Fee for Standard Plan on VM with 0 RAM GB or more,82E5-FFE1-2F68,"August 1, 2020"
4077,Secured Ripple Node (6610-4BC6-8452),Licensing Fee for Standard Plan on VM with 0 VCPU or more,B601-C289-9BB7,"August 1, 2020"
4078,Selenoid (1E4A-3DB6-A242),Licensing Fee for Standard Plan,4C0E-E261-C087,"June 26, 2020"
4079,SellOdoo (0314-C555-3A8D),Standard Plan Container Time,BFED-3D3E-6F2B,"June 26, 2020"
4080,Sense Traffic Pulse™ On-Demand Intelligent Video Analytics (3203-AAF8-7D6F),Licensing Fee for Standard Plan on VM with more than 4 VCPU,D7F9-FADE-42E8,"August 31, 2020"
4081,Sense Traffic Pulse™ On-Demand Intelligent Video Analytics (3203-AAF8-7D6F),Licensing Fee for Standard Plan on VM with up to 4 VCPU,86F1-5563-DF9F,"August 31, 2020"
4082,Sense Traffic Pulse™ and Cloud AutoML (2379-84F2-4450),Licensing Fee for Standard Plan,C131-CD77-56A0,"August 31, 2020"
4083,SeoToaster (81AB-04FB-885D),Licensing Fee for Standard Plan,568C-06AE-A1DA,"August 1, 2020"
4084,Seopanel (7D15-0B35-8D25),Licensing Fee for Standard Plan,B5F3-6DB7-C35C,"June 26, 2020"
4085,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard Bare Metal Recovery Drive plus Shipping Fees,FEB6-BDC4-10B6,"August 27, 2020"
4086,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard CloudBundle - ShadowProtect with Cloud Basic Service Level,34DD-F4A0-2EA1,"August 27, 2020"
4087,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard CloudBundle - ShadowProtect with Cloud Plus Service Level,573C-0BF0-4714,"August 27, 2020"
4088,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard CloudBundle - ShadowProtect with Cloud Premium Service Level,4D05-D209-3E3B,"August 27, 2020"
4089,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard Extra Archival Point,1309-A5F0-0FF3,"August 27, 2020"
4090,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard Extra Recovery Point,376B-945F-4079,"August 27, 2020"
4091,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),"Standard Extra Storage Basic Service Level, 1GiB Pooled",C855-C56D-312F,"August 27, 2020"
4092,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),"Standard Extra Storage Plus Service Level, 1GiB Pooled",41BD-CFD7-B906,"August 27, 2020"
4093,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),"Standard Extra Storage Premium Service Level, 1GiB Pooled",34A0-68D9-3A31,"August 27, 2020"
4094,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard Intradaily Replication Point,C926-DF01-628F,"August 27, 2020"
4095,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard Lost Drive Fees,A1A9-EE2A-F687,"August 27, 2020"
4096,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard Reserved Static IP Address,2875-0D3B-F439,"August 27, 2020"
4097,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard Seed Drive plus Shipping Fees,3900-E0E6-AFEE,"August 27, 2020"
4098,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard ShadowProtect - Desktop Protection,AF80-F545-B6FB,"August 27, 2020"
4099,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard ShadowProtect - Server Protection,D4E2-7BC4-B878,"August 27, 2020"
4100,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard ShadowProtect - Virtual Server Protection,E82D-84D0-DE77,"August 27, 2020"
4101,ShadowProtect Backup and Disaster Recovery (US & Canada) (FBE1-9050-D6DE),Standard Virtualization Overage Hour,DE7D-65B9-0234,"August 27, 2020"
4102,Shadowsocks VPN (2401-8234-89C6),Licensing Fee for Standard Plan,FA88-E4ED-B41A,"December 6, 2020"
4103,Shape Defense (1A5E-92D8-5F05),GCP Preferred Additional Transactions,0CC5-6D76-6BD1,"June 26, 2020"
4104,Sharepoint 2016 Enterprise on Windows Server with Advanced Feat (EF69-AB7A-7624),Licensing Fee for Standard Plan,9924-E618-9A40,"July 31, 2020"
4105,Sharepoint 2016 Enterprise on Windows Server with Advanced Feat (3AC0-080A-7AE4),Licensing Fee for Standard Plan,6C8B-5B00-FAC2,"July 31, 2020"
4106,Sharepoint 2016 Standard on Windows 2016 (3320-AA4D-A76B),Licensing Fee for Standard Plan,3AFB-6868-FC9E,"July 31, 2020"
4107,Silk Platform (14BC-E05F-A9BB),Licensing Fee for Standard Plan,5F9B-A80D-76C2,"July 9, 2020"
4108,Silk Platform - 3 compute nodes (8CAB-70B6-4D50),Licensing Fee for Standard Plan,63F8-5746-0162,"January 12, 2021"
4109,Silk Platform - 6 compute nodes (461A-6B97-2B0C),Licensing Fee for Standard Plan,B942-AD4C-6BB1,"January 12, 2021"
4110,Silo for Research (8E47-5973-FFFA),Deprecated SfR - Custom Tier 1 Additional 1 GB Storage,A3B3-AA79-86AE,"July 23, 2020"
4111,Silo for Research (8E47-5973-FFFA),Deprecated SfR - Custom Tier 1 Additional Users,929D-00AA-AC01,"July 23, 2020"
